wl,n
0.971,2.68330
0.972,2.68383
0.973,2.68435
0.974,2.68488
0.975,2.68541
0.976,2.68594
0.977,2.68647
0.978,2.68701
0.979,2.68754
0.980,2.68807
0.981,2.68860
0.982,2.68914
0.983,2.68967
0.984,2.69021
0.985,2.69074
0.986,2.69128
0.987,2.69181
0.988,2.69235
0.989,2.69289
0.990,2.69343
0.991,2.69396
0.992,2.69450
0.993,2.69504
0.994,2.69558
0.995,2.69612
0.996,2.69666
0.997,2.69720
0.998,2.69774
0.999,2.69828
1.000,2.69882
1.006,2.70207
1.012,2.70533
1.018,2.70859
1.024,2.71185
1.030,2.71510
1.036,2.71836
1.042,2.72160
1.048,2.72483
1.054,2.72805
1.060,2.73126
1.066,2.73445
1.072,2.73762
1.078,2.74076
1.084,2.74388
1.090,2.74697
1.096,2.75004
1.102,2.75307
1.108,2.75607
1.114,2.75904
1.120,2.76196
1.126,2.76485
1.132,2.76769
1.138,2.77048
1.144,2.77323
1.150,2.77592
1.156,2.77856
1.162,2.78114
1.168,2.78368
1.174,2.78616
1.180,2.78858
1.186,2.79096
1.192,2.79327
1.198,2.79554
1.204,2.79775
1.210,2.79991
1.216,2.80202
1.222,2.80408
1.228,2.80608
1.234,2.80804
1.240,2.80995
1.246,2.81180
1.252,2.81361
1.258,2.81537
1.264,2.81709
1.270,2.81876
1.276,2.82038
1.282,2.82196
1.288,2.82349
1.294,2.82498
1.300,2.82643
1.306,2.82783
1.312,2.82920
1.318,2.83052
1.324,2.83181
1.330,2.83305
1.336,2.83426
1.342,2.83543
1.348,2.83656
1.354,2.83766
1.360,2.83872
1.366,2.83974
1.372,2.84073
1.378,2.84169
1.384,2.84261
1.390,2.84350
1.396,2.84436
1.402,2.84518
1.408,2.84598
1.414,2.84674
1.420,2.84748
1.426,2.84819
1.432,2.84886
1.438,2.84951
1.444,2.85013
1.450,2.85073
1.456,2.85130
1.462,2.85184
1.468,2.85235
1.474,2.85284
1.480,2.85331
1.486,2.85375
1.492,2.85416
1.498,2.85456
1.504,2.85493
1.510,2.85527
1.516,2.85560
1.522,2.85590
1.528,2.85618
1.534,2.85644
1.540,2.85667
1.546,2.85689
1.552,2.85708
1.558,2.85726
1.564,2.85741
1.570,2.85754
1.576,2.85765
1.582,2.85775
1.588,2.85782
1.594,2.85787
1.600,2.85791
1.606,2.85792
1.612,2.85792
1.618,2.85790
1.624,2.85786
1.630,2.85781
1.636,2.85774
1.642,2.85765
1.648,2.85754
1.654,2.85742
1.660,2.85729
1.666,2.85714
1.672,2.85697
1.678,2.85679
1.684,2.85660
1.690,2.85639
1.696,2.85617
1.702,2.85594
1.708,2.85569
1.714,2.85544
1.720,2.85517
1.726,2.85488
1.732,2.85459
1.738,2.85429
1.744,2.85397
1.750,2.85365
1.756,2.85332
1.762,2.85297
1.768,2.85262
1.774,2.85226
1.780,2.85188
1.786,2.85150
1.792,2.85112
1.798,2.85072
1.804,2.85032
1.810,2.84990
1.816,2.84948
1.822,2.84906
1.828,2.84863
1.834,2.84819
1.840,2.84774
1.846,2.84729
1.852,2.84683
1.858,2.84637
1.864,2.84590
1.870,2.84543
1.876,2.84495
1.882,2.84447
1.888,2.84398
1.894,2.84349
1.900,2.84299
1.906,2.84249
1.912,2.84199
1.918,2.84148
1.924,2.84097
1.930,2.84046
